Channel #,Time(s),SPR pixel position,SPR angle,Refractive Index
1,1166,82.1134592,68.2357598554844,1.32548803522483
1,1168,82.1240768,68.2351126935403,1.32548252332068
1,1169,82.107392,68.2361296655005,1.32549118483412
1,1171.24,82.1300224,68.2347503015594,1.32547943673838
1,1173,82.1219392,68.2352429835592,1.32548363301984
1,1175,82.1065536,68.236180768122,1.32549162006206
1,1176,82.1242688,68.235100990858,1.32548242364688
1,1178,82.126944,68.2349379337277,1.3254810348548
1,1180,82.1209408,68.2353038376787,1.32548415132089
1,1183,82.1153536,68.2356443878535,1.32548705179504
1,1185,82.123648,68.2351388295389,1.32548274592536
1,1188,82.1248768,68.2350639323797,1.32548210801294
1,1190,82.1255168,68.2350249234803,1.32548177576629
1,1192,82.1305984,68.2347151937357,1.32547913771347
1,1194,82.1111936,68.2358979488265,1.32548921134903
1,1195,82.111808,68.2358604997526,1.3254888924006
1,1197.12,82.1304448,68.23472455582,1.32547921745348
1,1199,82.124512,68.2350861674639,1.32548229739335
1,1201,82.1126272,68.235810567691,1.32548846713544
1,1202,82.1042688,68.2363200327427,1.32549280613773
1,1205,82.125888,68.2350022983305,1.32548158306305
1,1207,82.1277312,68.2348899528877,1.32548062618975
1,1209,82.1191168,68.2354150136362,1.32548509821448
1,1211,82.118112,68.2354762580252,1.32548561983516
1,1213,82.1155264,68.2356338553444,1.32548696209012
1,1214,82.13264,68.2345907561733,1.32547807783365
1,1216,82.1264448,68.2349683606221,1.32548129400793
1,1218,82.1246592,68.2350771954114,1.32548222097671
1,1220,82.1102528,68.235955292767,1.32548969973809
1,1221,82.1245632,68.2350830467498,1.32548227081365
1,1223.11,82.1133248,68.2357680474533,1.32548810499505
1,1226,82.121408,68.2352753610637,1.3254839087827
1,1228,82.1146688,68.2356861278156,1.32548740729203
1,1230,82.1156416,68.2356268336727,1.32548690228682
1,1232,82.1105728,68.2359357880191,1.32548953361946
1,1233.5,82.1373568,68.2343032634994,1.32547562912996
1,1235,82.1279168,68.2348786403376,1.32548052983774
1,1237,82.1246272,68.2350791458575,1.32548223758902
1,1239,82.100512,68.2365490203837,1.32549475634052
1,1240,82.1314496,68.2346633122122,1.32547869582051
1,1242,82.137728,68.2342806386267,1.32547543642236
1,1244,82.1276224,68.2348965843836,1.32548068267195
1,1246,82.110464,68.2359424196327,1.3254895900998
1,1249,82.1093056,68.2360130268588,1.32549019144864
1,1251,82.1380224,68.2342626947683,1.3254752835852
1,1253,82.120512,68.2353299737621,1.32548437392424
1,1254,82.1126848,68.2358070568446,1.32548843723396
1,1256,82.1290496,68.2348095948204,1.32547994175747
1,1259.38,82.1071424,68.2361448792534,1.32549131440587
1,1261,82.1082816,68.2360754421568,1.3254907230266
1,1263,82.0949184,68.2368899678555,1.32549766002367
1,1265,82.0947648,68.2368993302853,1.32549773975824
1,1266,82.1342848,68.2344905041589,1.32547722394627
1,1268,82.1257216,68.235012440638,1.32548166944728
1,1270,82.113952,68.2357298182748,1.32548777940053
1,1272,82.1086208,68.236054767082,1.32549054694152
1,1273,82.1184768,68.2354540227938,1.32548543045707
1,1275,82.1260672,68.2349913758475,1.32548149003385
1,1278,82.119104,68.2354157938191,1.32548510485934
1,1280,82.1035392,68.2363645038674,1.32549318488349
1,1282,82.12448,68.2350881179103,1.32548231400566
1,1284,82.1211328,68.2352921349585,1.32548405164769
1,1285.37,82.1285952,68.2348372910351,1.32548017765423
1,1287,82.118688,68.235441149769,1.32548532081706
1,1289,82.1188736,68.2354298371131,1.32548522446671
1,1291,82.124768,68.2350705638952,1.32548216449483
1,1292,82.1289152,68.2348177866572,1.32548001152978
1,1294,82.1280896,68.2348681079653,1.32548044013066
1,1295.76,82.126304,68.2349769425695,1.32548136710235
1,1297,82.1389248,68.2342076929755,1.32547481510553
1,1301,82.1452736,68.2338207314588,1.32547151911227
1,1303,82.1268992,68.2349406643458,1.32548105811214
1,1304,82.0942144,68.2369328790043,1.32549802547358
1,1306,82.024544,68.2411796768811,1.32553418929269
1,1308,81.9843008,68.2436328628892,1.32555507613815
1,1310,81.9397184,68.2463506814812,1.32557821321912
1,1311,81.926112,68.2471801756211,1.32558527418628
1,1313,81.893632,68.2491603181772,1.32560212876254
1,1315,81.8836416,68.2497693960897,1.32560731278717
1,1317,81.845696,68.252082856978,1.32562700187941
1,1318,81.8678848,68.2507300429719,1.32561548879893
1,1320,81.831424,68.2529530133388,1.32563440691955
1,1321.64,81.8479872,68.251943164911,1.32562581306938
1,1323,81.8189632,68.2537127522851,1.32564087205163
1,1325,81.858432,68.251306360575,1.32562039362356
